"term","df","sumsq","meansq","statistic","p.value"
"period_group_manuscript",2,18.4608899656921,9.23044498284604,6.80370392565479,0.00115976681878563
"strict_group_manuscript",1,9.33006039141929,9.33006039141929,6.87712982739897,0.00885830472877649
"period_group_manuscript:strict_group_manuscript",2,1.43616172584643,0.718080862923214,0.529292964216538,0.589180016111454
"Residuals",1039,1409.58990014458,1.35667940341153,NA,NA
