"strict_group_manuscript","period_group_manuscript","BR_M","BR_SD","SE_M","SE_SD","WI_M","WI_SD","N"
"Loose","T1(<=7days)",3.14980079681275,1.19044107798721,3.42762284196547,0.970318695563783,3.59096945551129,1.17076532934514,251
"Loose","T2(8-21days)",3.2031746031746,1.06407134340735,3.05555555555556,0.878863717359954,3.53968253968254,1.01145512735582,63
"Loose","T3(>21days)",3.16666666666667,1.11455955007088,3.39351851851852,0.87109411076509,3.3641975308642,1.16592057766857,108
"Strict","T1(<=7days)",3.65760869565217,1.14993311239571,3.76721014492754,0.950668288532137,3.85326086956522,1.05217339216468,184
"Strict","T2(8-21days)",3.29253731343284,1.20964960226149,3.66044776119403,0.970622516058205,3.79353233830846,1.20275010416337,134
"Strict","T3(>21days)",3.35344262295082,1.17978990832375,3.36830601092896,1.00203422901005,3.45792349726776,1.23416729804621,305
