"Stage","Term","Beta","SE","Stars","N","F_value","P_value","Adjusted_R2","Source"
"T1","Boredom",0.333,0.145,"**",101,5.08,"<0.001",0.197,"Manuscript_anonymous.docx"
"T1","Sensation seeking",0.242,0.181,"*",101,5.08,"<0.001",0.197,"Manuscript_anonymous.docx"
"T1","Education",-0.145,0.214,"",101,5.08,"<0.001",0.197,"Manuscript_anonymous.docx"
"T1","Travel frequency",0.002,0.152,"",101,5.08,"<0.001",0.197,"Manuscript_anonymous.docx"
"T1","Age 26+",0.019,0.268,"",101,5.08,"<0.001",0.197,"Manuscript_anonymous.docx"
"T1","Male",0.005,0.24,"",101,5.08,"<0.001",0.197,"Manuscript_anonymous.docx"
"T2","Boredom",0.211,0.073,"***",333,26.64,"<0.001",0.315,"Manuscript_anonymous.docx"
"T2","Sensation seeking",0.357,0.081,"***",333,26.64,"<0.001",0.315,"Manuscript_anonymous.docx"
"T2","Education",0.162,0.103,"***",333,26.64,"<0.001",0.315,"Manuscript_anonymous.docx"
"T2","Travel frequency",0.18,0.067,"***",333,26.64,"<0.001",0.315,"Manuscript_anonymous.docx"
"T2","Age 26+",-0.076,0.122,"",333,26.64,"<0.001",0.315,"Manuscript_anonymous.docx"
"T2","Male",-0.055,0.121,"",333,26.64,"<0.001",0.315,"Manuscript_anonymous.docx"
"T3","Boredom",0.15,0.059,"**",466,20.23,"<0.001",0.199,"Manuscript_anonymous.docx"
"T3","Sensation seeking",0.321,0.071,"***",466,20.23,"<0.001",0.199,"Manuscript_anonymous.docx"
"T3","Education",0.072,0.088,"",466,20.23,"<0.001",0.199,"Manuscript_anonymous.docx"
"T3","Travel frequency",0.112,0.056,"*",466,20.23,"<0.001",0.199,"Manuscript_anonymous.docx"
"T3","Age 26+",-0.046,0.102,"",466,20.23,"<0.001",0.199,"Manuscript_anonymous.docx"
"T3","Male",-0.101,0.119,"*",466,20.23,"<0.001",0.199,"Manuscript_anonymous.docx"
